IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
129.146.213.36,80,443,true,LAX,North America,Los Angeles,240,4.08
140.238.158.238,8080,443,true,YYZ,North America,Toronto,266,4.07
192.18.150.176,2087,443,true,YYZ,North America,Toronto,244,3.99
129.146.254.39,443,443,true,LAX,North America,Los Angeles,302,3.91
192.9.157.76,443,8443,true,SJC,North America,San Jose,173,3.87
151.145.36.72,443,443,true,YYZ,North America,Toronto,240,3.67
152.70.48.118,443,443,true,FRA,Europe,Frankfurt,308,3.61
141.147.10.163,443,443,true,FRA,Europe,Frankfurt,330,3.53
84.235.175.69,443,443,true,FRA,Europe,Frankfurt,278,3.53
192.18.139.229,8443,443,true,SJC,North America,San Jose,173,3.40
138.2.182.63,443,443,true,FRA,Europe,Frankfurt,317,3.29
138.2.151.213,443,443,true,FRA,Europe,Frankfurt,332,3.26
141.147.101.85,443,443,true,FRA,Europe,Frankfurt,331,3.22
144.21.35.163,443,443,true,FRA,Europe,Frankfurt,314,3.17
158.180.13.244,443,443,true,FRA,Europe,Frankfurt,309,3.13
138.2.157.236,443,443,true,FRA,Europe,Frankfurt,322,3.12
141.147.44.114,443,443,true,FRA,Europe,Frankfurt,305,3.08
152.70.168.91,443,443,true,FRA,Europe,Frankfurt,331,3.04
143.47.187.101,443,443,true,FRA,Europe,Frankfurt,302,3.02
138.2.167.113,443,443,true,FRA,Europe,Frankfurt,329,2.98
138.2.148.156,443,443,true,FRA,Europe,Frankfurt,335,2.94
130.162.166.116,443,443,true,FRA,Europe,Frankfurt,299,2.90
152.70.155.147,443,443,true,LAX,North America,Los Angeles,286,2.63
130.61.109.6,8443,443,true,FRA,Europe,Frankfurt,298,2.61
158.180.35.18,443,443,true,FRA,Europe,Frankfurt,261,2.06
138.3.240.244,443,443,true,FRA,Europe,Frankfurt,288,1.87
89.168.73.252,443,443,true,FRA,Europe,Frankfurt,289,1.79
130.162.162.63,443,443,true,FRA,Europe,Frankfurt,261,1.56
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,302,1.55
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,292,1.53
141.147.86.191,443,443,true,FRA,Europe,Frankfurt,323,1.47
132.226.215.58,443,443,true,FRA,Europe,Frankfurt,312,1.22
155.248.174.143,443,443,true,NRT,Asia Pacific,Tokyo,73,1.18
144.24.74.51,443,443,true,ICN,Asia Pacific,Seoul,94,1.01
193.122.50.6,443,443,true,FRA,Europe,Frankfurt,292,0.97
150.230.112.235,443,443,true,FRA,Europe,Frankfurt,324,0.91
193.122.197.111,443,443,true,IAD,North America,Ashburn,241,0.87
158.180.27.151,443,443,true,FRA,Europe,Frankfurt,305,0.75
158.101.169.13,8443,443,true,FRA,Europe,Frankfurt,286,0.70
146.56.162.25,443,443,true,ICN,Asia Pacific,Seoul,110,0.63
155.248.196.123,443,443,true,YVR,North America,Vancouver,185,0.47
193.122.61.167,443,443,true,FRA,Europe,Frankfurt,308,0.37
158.180.15.57,443,443,true,FRA,Europe,Frankfurt,329,0.35
152.70.91.7,8443,443,true,ICN,Asia Pacific,Seoul,86,0.34
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,309,0.34
129.146.46.164,443,443,true,LAX,North America,Los Angeles,237,0.33
129.153.165.237,443,443,true,IAD,North America,Ashburn,248,0.24
129.151.205.193,443,443,true,ARN,Europe,Stockholm,371,0.22
84.235.164.50,443,443,true,FRA,Europe,Frankfurt,297,0.16
152.70.52.215,443,443,true,AMS,Europe,Amsterdam,286,0.13
138.2.176.143,443,443,true,FRA,Europe,Frankfurt,386,0.06
132.145.93.198,2083,2053,true,NRT,Asia Pacific,Tokyo,136,0.06
132.145.127.203,2053,443,true,NRT,Asia Pacific,Tokyo,294,0.04
